period,metric,value,unit,source_file,anchor_quote
FY2024,non_controlling_interests_equity,850,US$ millions,raw/cross-section/brookfield/sec/bnt-20f-fy2025.htm,CONSOLIDATED STATEMENTS OF FINANCIAL POSITION (US$ MILLIONS): 'Non-controlling interests | 331 | 850'
FY2025,total_equity,17917,US$ millions,raw/cross-section/brookfield/sec/bnt-20f-fy2025.htm,"CONSOLIDATED STATEMENTS OF FINANCIAL POSITION (US$ MILLIONS): 'Total equity | 17,917 | 13,076'"
FY2024,total_equity,13076,US$ millions,raw/cross-section/brookfield/sec/bnt-20f-fy2025.htm,"CONSOLIDATED STATEMENTS OF FINANCIAL POSITION (US$ MILLIONS): 'Total equity | 17,917 | 13,076'"
FY2023,total_assets,61643,US$ millions,raw/cross-section/brookfield/sec/bnt-20f-fy2025.htm,"MD&A Key Financial Data: 'Total assets | $ | 157,181 | $ | 139,953 | $ | 61,643'"
FY2023,total_equity,6155,US$ millions,raw/cross-section/brookfield/sec/bnt-20f-fy2025.htm,"CONSOLIDATED STATEMENTS OF CHANGES IN EQUITY: 'Balance as of December 31, 2023 ... Total equity $ | 6,155'"
FY2023,non_controlling_interests_equity,146,US$ millions,raw/cross-section/brookfield/sec/bnt-20f-fy2025.htm,"CONSOLIDATED STATEMENTS OF CHANGES IN EQUITY: 'Balance as of December 31, 2023 ... Non-controlling interests $ | 146'"
FY2025,adjusted_equity,16837,US$ millions,raw/cross-section/brookfield/sec/bnt-20f-fy2025.htm,"MD&A Reconciliation of Non-GAAP Measures: 'Adjusted Equity | $ | 16,837 | $ | 11,760'"
FY2024,adjusted_equity,11760,US$ millions,raw/cross-section/brookfield/sec/bnt-20f-fy2025.htm,"MD&A Reconciliation of Non-GAAP Measures: 'Adjusted Equity | $ | 16,837 | $ | 11,760'"
FY2023,adjusted_equity,8671,US$ millions,raw/cross-section/brookfield/sec/bnt-20f-fy2025.htm,"MD&A Key Financial Data: 'Adjusted Equity(1) | 16,837 | 11,760 | 8,671'"
4Q24,gaap_net_income,576,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"FINANCIAL SUMMARY p.2 (Dec. 31, 2024 col): 'GAAP net income (loss) ... $ 21 $ 608 $ 516 $ (282)'"
1Q25,gaap_net_income,-282,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,FINANCIAL SUMMARY p.2: 'GAAP net income (loss) ... $ 21 $ 608 $ 516 $ (282)'
2Q25,gaap_net_income,516,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,FINANCIAL SUMMARY p.2: 'GAAP net income (loss) ... $ 21 $ 608 $ 516 $ (282)'
3Q25,gaap_net_income,608,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,FINANCIAL SUMMARY p.2: 'GAAP net income (loss) ... $ 21 $ 608 $ 516 $ (282)'
