page,code,label,monies
6074,0019999999,Subtotal - issuer credit obligations - U.S. government obligations,1146626760;1154799100;1147202541;1148383058;-168440;-168440;1148214622;-1587811;-1587811;40423441
6074,0039999999,Subtotal - issuer credit obligations - non-U.S. sovereign jurisdiction securitie,14995943;15026387;15755469;15391985;-459603;-459603;135973;15024930;-43425;-28987;-72412;1526417
6074,0049999999,Subtotal - issuer credit obligations - municipal bonds - general obligations,12322722;11835000;12063041;11910800;-14709;-14709;11896091;426631;426631;733387
6075,0059999999,Subtotal - issuer credit obligations - municipal bonds - special revenue,84693695;81100730;83264456;81292847;-30629;-30629;82764978;1555278;1555278;4125475
6075,0069999999,Subtotal - issuer credit obligations - project finance bonds issued by operating,15234176;15335056;15084099;15112331;22469;22469;15134800;99376;99376;437138
6075,0079999999,Subtotal - issuer credit obligations - project finance bonds issued by operating,294228654;294228654;294232089;288717379;-3435;-3435;162147;294228654;9500318
6131,0089999999,Subtotal - issuer credit obligations - corporate bonds,15429985836;15883160090;15681759982;15510954156;531109;4699055;5230164;10252240;15646958618;1327629;-217236322;-215908693;512654047
6131,0099999999,Subtotal - issuer credit obligations - corporate bonds,15954675;15500000;15496725;15496725;590;590;15497315;457360;457360;1216441
6131,0109999999,Subtotal - issuer credit obligations - mandatory convertible bonds,442468;7000000;828450;828450;828450;-385982;-385982
6136,0129999999,Subtotal - issuer credit obligations - single entity backed obligations,989475205;988839742;988967305;987028069;558543;558543;13990;988630925;-10165;844281;834116;36047709
6136,0139999999,Subtotal - issuer credit obligations - single entity backed obligations,1449485818;1439645817;1427111108;1142517705;-1219657;-1219657;-1902177;1447248290;15106255;2237528;17343783;19743700
6137,0149999999,Subtotal - issuer credit obligations - SVO-identified bond exchange traded funds,618058
6141,0169999999,Subtotal - issuer credit obligations - bonds issued by funds representing operat,3104121938;3143380208;3111227507;2935369340;2729720;2729720;2828483;3118440846;-49091;-14318911;-14368002;131598325
6142,0189999999,Subtotal - issuer credit obligations - bank loans - issued,261991789;263356857;256370575;252441806;1384429;1384429;642169;261991789;4089183;4089183;20889152
6145,0209999999,Subtotal - issuer credit obligations - bank loans - acquired,309462679;309612722;309084063;303859506;419002;419002;569379;309484004;-106351;-21324;-127675;14143106
6145,0219999999,Subtotal - issuer credit obligations - bank loans - acquired,8097482;8097482;8065972;7430575;21747;21747;8097482;369400
6145,0489999999,Total - issuer credit obligations,21369353211;21873445892;21621607488;21262572348;531109;9139837;9670946;14442234;21599370053;5207780;-230653771;-225445991;763196255
6145,0499999999,Total - issuer credit obligations,1767766629;1757471953;1744905894;1454162384;-1200755;-1200755;-1740030;1765071741;15106255;2694888;17801143;30829859
6145,0509999997,Total - issuer credit obligations - Part,23137119840;23630917845;23366513382;22716734732;531109;7939082;8470191;12702204;23364441794;20314035;-227958883;-207644848;794026114
6145,0509999998,Total - issuer credit obligations - Part,18564280029;18585909432;18398870046;8746728;8746728;18406176103;-1391661;158128843;156737182;386540626
6145,0509999999,Total - issuer credit obligations,41701399869;42216827277;41765383428;22716734732;531109;16685810;17216919;12702204;41770617897;18922374;-69830040;-50907666;1180566740
6150,1019999999,Subtotal - asset-backed securities - financial asset-backed securities - self-li,19419435;19092477;-18881734;199400;-19081134;5442662
6151,1029999999,Subtotal - asset-backed securities - financial asset-backed securities - self-li,9943418;9943418;9733549;9825330;118083;118083;9943418;153503
