section,page,code,label,monies
ICO,486,0019999999,"Subtotal - issuer credit obligations - U.S. government obligations (exempt from RBC) 1,084",1084292;1066000;1065198;1068798;-3137;8541;9195;1081921
ICO,487,0039999999,"Subtotal - issuer credit obligations - non-U.S. sovereign jurisdiction securities 637,756,",637756126;624914000;546169780;635588473;-548617;6145542;26226316;637109269
ICO,489,0049999999,Subtotal - issuer credit obligations - municipal bonds - general obligations (direct and g,450390971;448662675;394353284;450187679;-103348;4440983;15897158;200746249
ICO,495,0059999999,"Subtotal - issuer credit obligations - municipal bonds - special revenue 2,289,489,911 2,2",2289489911;2234224966;1849287239;2285924689;-555640;24424118;83161135;1193909325
ICO,566,0089999999,"Subtotal - issuer credit obligations - corporate bonds (unaffiliated) 26,052,726,367 25,85",26052726367;25851089100;24049525696;26038671519;5168;19477106;25082415;285832265;938917458;26399936451
ICO,568,0129999999,Subtotal - issuer credit obligations - single entity backed obligations (unaffiliated) 645,645378162;643931989;645372370;644257778;-130535;7625997;21490636;610369674
ICO,572,0169999999,Subtotal - issuer credit obligations - bonds issued by funds representing operating entiti,1147569327;1157248743;1107405182;1151141726;1202688;313018;15080394;35562575;1180449367
ICO,572,0189999999,"Subtotal - issuer credit obligations - bank loans - issued (unaffiliated) 303,337,536 306,",303337536;306495327;304052706;304052706;620150;4045372;20120623;316200727
ICO,573,0209999999,"Subtotal - issuer credit obligations - bank loans - acquired (unaffiliated) 365,940,312 37",365940312;370722466;366329394;368260621;83645;2057098;13191133;14181378;375232687
ICO,573,0229999999,Subtotal - issuer credit obligations - mortgage loans that qualify as SVO-identified credi,74295491;75033322;69208255;74471950;35962;6231;3322004;17016972
ICO,573,0269999999,"Subtotal - issuer credit obligations - other issuer credit obligations (unaffiliated) 3,75",3754104;3643000;3253199;3708790;-5288;58056;126667;86099
ICO,573,0489999999,"Total - issuer credit obligations (unaffiliated) 31,971,722,599 31,717,031,588 29,336,022,",31971722599;31717031588;29336022303;31957334729;5168;20072986;27452531;360858632;1159015145;30932138741
