table,rank,key,name,section,n_positions,bacv
top_issuers,1,11283@,BROOKFIELD SECURITIZATION CFO INC,ALL,1,422800000
top_issuers,2,61036*,MONROECAPITALSTARRCLOILLC MONROESTARRCLO,ALL,6,353932818
top_issuers,3,61036@,MONROECAPITALSTARRCLOIILL MONROESTARRCLO,ALL,6,335777283
top_issuers,4,46500Q,ISQGLOBALINFRASTRUCTURECRED ISQGLOBALINF,ALL,2,294603613
top_issuers,5,55067@,LUXAETERNA2022-1LLC ABS_ABS,ALL,4,203275242
top_issuers,6,55068*,LUXAETERNA2022-2LLC ABS_ABS,ALL,4,199853620
top_issuers,7,38141G,GOLDMAN SACHS GROUP INC/THE GOLDMANSACHS,ALL,21,198704998
top_issuers,8,00235@,ASPSUMMA3LLC ASPSUMMA3CLASSA,ALL,5,172525458
top_issuers,9,06051G,BANK OF AMERICA CORP SENIOR CORP_BND,ALL,29,166225881
top_issuers,10,00235*,ASPSUMMA2LLC ASPSUMMA2CLASSA,ALL,5,164764168
top_issuers,11,00232*,ASPSUMMA1LLC ASPSUMMA1CLASSA,ALL,5,161634373
top_issuers,12,00236*,ASPSUMMA4LLC ASPSUMMA4CLASSA,ALL,5,151559988
top_issuers,13,718172,PHILIP MORRIS INTERNATIONAL IN SENIOR CO,ALL,16,146579250
top_issuers,14,46647P,JPMORGAN CHASE & CO SENIOR CORP_BND,ALL,19,141094042
top_issuers,15,693342,PG&E WILDFIRE RECOVERY FUNDING PCG_22,ALL,2,132230987
top_issuers,16,224044,COX COMMUNICATIONS INC SENIOR CORP_BND 1,ALL,9,125101938
top_issuers,17,02209S,ALTRIA GROUP INC SENIOR CORP_BND,ALL,9,124913962
top_issuers,18,95000U,WELLS FARGO & COMPANY WELLSFARGO&COMPANY,ALL,15,124278604
top_issuers,19,682680,ONEOK INC SENIOR CORP_BND,ALL,18,119456380
top_issuers,20,842400,SOUTHERN CALIFORNIA EDISON COM SECURED C,ALL,21,116066263
top_issuers,21,92343V,VERIZONCOMMUNICATIONSINC SENIOR CORP_BND,ALL,14,110786879
top_issuers,22,20030N,COMCAST CORPORATION SENIOR CORP_BND,ALL,16,108690542
top_issuers,23,05650*,BAMFREEDOMSPV1LP GEMSWAREHOUSEJUNIORLOAN,ALL,1,108452435
top_issuers,24,08163K,BENCHMARK MORTGAGE TRUST BMARK SUPSEN SE,ALL,2,106979766
top_issuers,25,172967,CITIGROUPINC CITIGROUPINC,ALL,13,106976267
top_issuers,26,06738E,BARCLAYS PLC BARCLAYSPLC,ALL,12,103576727
top_issuers,27,907818,UNION PACIFIC CORPORATION SENIOR CORP_BN,ALL,11,101820129
top_issuers,28,G4807#,INFRASTRUCTURE BERMUDA BORROWE BIP LOAN,ALL,1,100545064
top_issuers,29,G4807*,INFRASTRUCTURE BERMUDA BORROWE BIP LOAN,ALL,1,100545064
top_issuers,30,88581E,3650R COMMERCIAL MORTGAGE TRUS LCF SENIO,ALL,1,99945892
summary,,d1_total,,,,38063028918
summary,,us_government,,,,1053978
summary,,no_identifier_bucket,,,,0
summary,,non_govt_identified,,,,38061974940
summary,,n_issuer_prefixes_non_govt,,,,2747
summary,,top10_bacv,,,,2512463081
summary,,top25_bacv,,,,4397264757
summary,,top50_bacv,,,,6676695248
summary,,remainder_below_top30,,,,33158277307
