section,page,reason,chunk
ALL,4411,row parsed without values,22541S-QT-8 ..... CSFB Mortgage-Backed Trust Ser CSFB 2004-AR6 CB1X ... ... ....... .......... ....6. * ... .......................... ....0.0010 .......................67 .......................... .
ALL,4411,row parsed without values,22541S-XY-9 ..... Credit Suisse First Boston Mor CSFB 2004-AR8 CB1X ... ... ....... .......... ....6. * ... .......................... ....0.0100 ......................963 .......................... .
ALL,4411,row parsed without values,"225458-5X-2 ..... CSFB Mortgage-Backed Pass-Thro CSFB 2005-9 4A4 .... ... ... ....... .......... ....6. * ... .......................... ....0.2950 ..................11,246 .......................... "
ALL,4411,row parsed without values,"225458-PP-7 ..... CSFB Mortgage-Backed Pass-Thro CSFB 2005-4 2A2 .... ... ... ....... .......... .. 5.A FE .. .......................... ....0.4450 ................... 9,429 .........................."
ALL,4411,row parsed without values,"225458-PV-4 ..... CSFB Mortgage-Backed Pass-Thro CSFB 2005-4 2A8 .... ... ... ....... .......... .. 5.B FE .. .......................... ....0.5850 ..................12,423 .......................... "
ALL,4412,row parsed without values,"2254W0-GA-7 ..... Credit Suisse First Boston Mor CSFB 2003-1 1X ..... ... ... ....... .......... .. 1.B FE .. .......................... ...10.4140 ..................18,064 .......................... "
ALL,4412,row parsed without values,251510-FZ-1 ..... Deutsche Alt-A Securities Inc DBALT 2005-4 AX2 .... ... ... ....... .......... ...6. FE .. .......................... ....0.0000 .......................20 .......................... 
ALL,4417,row parsed without values,"41161P-DX-8 ..... HarborView Mortgage Loan Trust HVMLT 2004-4 X1 .... ... ... ....... .......... ....6. * ... .......................... ....1.4460 ..................24,954 .......................... "
ALL,4417,row parsed without values,41161P-XU-2 ..... HarborView Mortgage Loan Trust HVMLT 2005-15 X3B . ... ... ....... .......... ...6. FE .. .......................... ....0.0010 ........................ 2 .......................... 
ALL,4419,row parsed without values,45660L-VN-6 ..... IndyMac INDX Mortgage Loan Tru INDX 2005-AR15 A3 .. ... ... ....... .......... ....6. * ... .......................... ....0.0010 ......................149 ..........................
