section,page,reason,chunk
ABS,5936,row parsed without values,22541S-LJ-5 ..... CSFB Mortgage-Backed Pass-Thro CSFB 2004-AR5 7X ... ................ ....6. * ... .......................... ........................ ........................ .......................
ABS,5936,row parsed without values,22541S-QT-8 ..... CSFB Mortgage-Backed Trust Ser CSFB 2004-AR6 CB1X ................ ....6. * ... .......................... ........................ ..................... 57 .........................
ABS,5936,row parsed without values,22541S-XY-9 ..... Credit Suisse First Boston Mor CSFB 2004-AR8 CB1X ................ ....6. * ... .......................... ........................ ....................851 ..........................
ABS,5936,row parsed without values,"225458-5X-2 ..... CSFB Mortgage-Backed Pass-Thro CSFB 2005-9 4A4 .... ................ ....6. * ... .......................... ........................ ................ 11,363 ........................"
ABS,5936,row parsed without values,"225458-PP-7 ..... CSFB Mortgage-Backed Pass-Thro CSFB 2005-4 2A2 .... ................ .. 5.A FE .. .......................... ........................ ................10,051 ........................."
ABS,5936,row parsed without values,"225458-PV-4 ..... CSFB Mortgage-Backed Pass-Thro CSFB 2005-4 2A8 .... ................ .. 5.A FE .. .......................... ........................ ................ 13,450 ........................"
ABS,5937,row parsed without values,"2254W0-EP-6 ..... Credit Suisse First Boston Mor CSFB 2002-34 AX .... ................ ....6. * ... .......................... ........................ ................ 27,386 ........................"
ABS,5937,row parsed without values,"2254W0-GA-7 ..... Credit Suisse First Boston Mor CSFB 2003-1 1X ..... ................ .. 1.B FE .. .......................... ........................ ................ 15,669 ........................"
ABS,5937,row parsed without values,22944B-DG-0 ..... CSMC Mortgage-Backed Trust 200 CSMC 2007-5 6A4 .... ................ ....6. * ... .......................... ........................ .......................8 .......................
ABS,5937,row parsed without values,22945A-AJ-8 ..... CSMC 2017-RPL1 Trust CSMC 2017-RPL1 AIOS ............ ................ ....6. * ... .......................... ........................ ....................165 ......................
ABS,5937,row parsed without values,"23323C-BZ-7 ..... DLJ ABS Trust Series 2000-5 DLJAB 2000-5 AIO ...... ................ ....6. * ... .......................... ........................ ..................1,043 ........................"
ABS,5939,row parsed without values,32051G-BU-8 ..... First Horizon Alternative Mort FHAMS 2004-AA5 2A2 ................ ....6. * ... .......................... ........................ ....................130 ..........................
ABS,5943,row parsed without values,"41161P-DX-8 ..... HarborView Mortgage Loan Trust HVMLT 2004-4 X1 .... ................ ....6. * ... .......................... ........................ ................ 58,464 ........................"
ABS,5943,row parsed without values,41161P-XU-2 ..... HarborView Mortgage Loan Trust HVMLT 2005-15 X3B . ................ ...6. FE .. .......................... ........................ .......................2 .........................
ABS,5945,row parsed without values,45660L-FM-6 ..... IndyMac INDX Mortgage Loan Tru INDX 2005-AR3 3X ... ................ ....6. * ... .......................... ........................ ........................ .......................
ABS,5945,row parsed without values,45660L-X3-8 ..... IndyMac INDX Mortgage Loan Tru INDX 2005-AR31 AX .. ................ ....6. * ... .......................... ........................ ....................250 ........................
ABS,5949,row parsed without values,"46641C-BM-2 ..... JP Morgan Mortgage Trust 2014- JPMMT 2014-1 2AX ... ................ .. 1.A FE .. .......................... ........................ ..................6,196 ........................"
ABS,5951,row parsed without values,576431-AG-5 ..... MASTR Adjustable Rate Mortgage MARM 2007-1 IX2 .... ................ ....6. * ... .......................... ........................ ..................... 57 .......................
ABS,5959,row parsed without values,"751151-AK-7 ..... RALI Series 2006-QS12 Trust RALI 2006-QS12 2A6 .... ................ ....6. * ... .......................... ........................ ................ 18,255 ........................"
ABS,5959,row parsed without values,"751151-AM-3 ..... RALI Series 2006-QS12 Trust RALI 2006-QS12 2A8 .... ................ ....6. * ... .......................... ........................ ................ 24,932 ........................"
ABS,5960,row parsed without values,"761118-UZ-9 ..... RALI Series 2006-QS2 Trust RALI 2006-QS2 1A18 ..... ................ ...6. FE .. .......................... ........................ ................ 15,741 ........................."
ABS,5961,row parsed without values,81743P-AD-8 ..... Sequoia Mortgage Trust 2003-1 SEMT 2003-1 X1B ..... ................ ....6. * ... .......................... ........................ ..................... 15 .......................
ABS,5962,row parsed without values,"81744F-GP-6 ..... Sequoia Mortgage Trust 2005-1 SEMT 2005-1 XA ....... ................ .. 2.B FE .. .......................... ........................ ................ 10,994 ......................."
ABS,5962,row parsed without values,863579-JJ-8 ..... Structured Adjustable Rate Mor SARM 2004-19 2A1X .. ................ ....6. * ... .......................... ........................ .................... 224 .......................
ABS,5964,row parsed without values,86363G-AP-9 ..... Structured Adjustable Rate Mor SARM 2007-3 4AX .... ................ ....6. * ... .......................... ........................ ......................39 .......................
ABS,5964,row parsed without values,881561-FT-6 ..... Terwin Mortgage Trust Series T TMTS 2004-3HE N .... ................ ....6. * ... .......................... ........................ .......................5 .......................
ABS,5967,row parsed without values,"93364B-AG-5 ..... WaMu Mortgage Pass-Through Cer WAMU 2007-OA5 2XPP ................ ....6. * ... .......................... ........................ ................ 13,121 .........................."
ABS,5967,row parsed without values,"93364C-AG-3 ..... WaMu Mortgage Pass-Through Cer WAMU 2007-OA4 2XPP ................ ....6. * ... .......................... ........................ ................ 27,154 .........................."
ABS,5978,row parsed without values,"46644A-BH-4 ..... JPMBB Commercial Mortgage Secu JPMBB 2015-C27 XA .. ................ .. 5.B FE .. .................147,978 ........................ ................. 1,188 .........................."
ABS,5980,row parsed without values,"94989Y-BC-6 ..... Wells Fargo Commercial Mortgag WFCM 2016-C32 XA ... ................ .. 1.A FE .. .................568,261 ........................ ....................570 .........................."
