section,page,reason,chunk
ALL,2694,row parsed without values,3136A4-ZR-3 ..... FNR 2012-25 RA FNR 2012-25 RA .......................... ... ... ....... .......... .... 1.A .... .......................... ....0.0310 .......................... ...................
ALL,2694,row parsed without values,31396W-LT-1 ..... FNW 2007-W5 2A3 FNW 2007-W5 1A3 ....................... ... ... ....... .......... ....6. * ... .......................... ....0.0320 ......................450 ......................
ALL,2694,row parsed without values,31396W-LU-8 ..... FNW 2007-W5 2A3 FNW 2007-W5 2A3 ....................... ... ... ....... .......... .... 1.A .... .......................... ....0.0330 .......................50 .....................
ALL,2694,row parsed without values,31396X-E6-7 ..... FNR 2012-25 RA FNR 2007-106 A5 ......................... ... ... ....... .......... ....6. * ... .......................... ....0.0500 ......................639 .....................
ALL,2701,row parsed without values,06051G-HF-9 ..... BANK OF AMER CRP Senior Unsecured ..................... ... ... ....... .......... .. 1.F FE .. .......................... ............ .......................... ...................
ALL,2701,row parsed without values,06051G-HK-8 ..... BANK OF AMER CRP Senior Unsecured ..................... ... ... ....... .......... .. 1.E FE .. .......................... ............ .......................... ...................
ALL,2743,row parsed without values,911312-BJ-4 ..... UNITED PARCEL Senior Unsecured ......................... ... ... ....... .......... .. 1.F FE .. .......................... ............ .......................... ..................
ALL,2750,row parsed without values,000000-00-0 ..... CRED SUIS NY AP WRHS LP - Egypt Repurcha ............ ... ... C...... .......... .. 1.F FE .. .......................... ............ .......................... .....................
ALL,2750,row parsed without values,000000-00-0 ..... Banesco Panama SA BANESCO TL 07/15/24 ................ ... ... D...... .......... .. 1.F FE .. .......................... ............ .......................... ....................
ALL,2750,row parsed without values,000000-00-0 ..... RED DORSAL LTD Senior Secured .......................... ... ... D...... .......... .. 2.C FE .. .......................... ............ .......................... ..................
ALL,2750,row parsed without values,000000-00-0 ..... TS ENERGY ITALY SPA Senior Secured .................... ... ... B...... .......... .. 1.F FE .. .......................... ............ .......................... ...................
ALL,2750,row parsed without values,000000-00-0 ..... CRED SUIS NY AP WRHS Sub DC LLC - Egypt ............. ... ... C...... .......... .. 1.F FE .. .......................... ............ .......................... .....................
ALL,2767,row parsed without values,007036-HV-1 ..... ARMT 2005-3 8X ARMT 2005-3 2A1 ......................... ... ... ....... 4 ......... .. 1.A FM .. .......................... ............ .......................... .................
ALL,2767,row parsed without values,007036-LD-6 ..... ARMT 2005-4 7X ARMT 2005-4 7X .......................... ... ... ....... .......... ....6. * ... .......................... ....0.0100 ......................842 .....................
ALL,2767,row parsed without values,007036-NX-0 ..... ARMT 2005-7 P ARMT 2005-7 7X ........................... ... ... ....... .......... ....6. * ... .......................... ....0.0010 ......................107 .....................
ALL,2767,row parsed without values,007036-PL-4 ..... ARMT 2005-6A P ARMT 2005-6A 1B1 ....................... ... ... ....... .......... .....6. .... .......................... ............ .......................... ...................
ALL,2767,row parsed without values,007036-RK-4 ..... ARMT 2005-8 P ARMT 2005-8 7X ........................... ... ... ....... .......... ....6. * ... .......................... ....0.0010 ......................142 .....................
ALL,2767,row parsed without values,007037-BC-7 ..... ARMT 2007-1 P ARMT 2007-1 P ............................ ... ... ....... .......... ....6. * ... .......................... ....0.0010 ......................197 .....................
ALL,2767,row parsed without values,02148D-AF-7 ..... CWALT 2007-HY3 3A2 CWALT 2007-HY3 3A2 ................ ... ... ....... .......... ....6. * ... .......................... ............ .......................... ....................
