quarter,metric,value
1Q26,retail,7270
1Q26,roll_acra_nci,-3470
1Q26,roll_acra_own,0
1Q26,roll_block,0
1Q26,roll_ceded_3p,-337
1Q26,roll_gross_inflows,19869
1Q26,roll_net_inflows,16062
1Q26,roll_net_withdrawals,-8612
1Q26,roll_other,506
1Q26,sre,719
1Q26,sre_alt_nii,210
1Q26,sre_alt_nii_pct,5.79
1Q26,sre_cof,-2807
1Q26,sre_cof_pct,-3.79
1Q26,sre_fees,36
1Q26,sre_fees_pct,0.05
1Q26,sre_fi_nii,3551
1Q26,sre_fi_nii_pct,5.04
1Q26,sre_fin,-153
1Q26,sre_fin_pct,-0.21
1Q26,sre_nie,3761
1Q26,sre_nie_pct,5.08
1Q26,sre_nis,990
1Q26,sre_nis_pct,1.34
1Q26,sre_opex,-118
1Q26,sre_opex_pct,-0.16
1Q26,sre_pct,0.97
1Q26,total_gross_inflows,19747
1Q26,total_gross_inflows_check,19747
1Q26,total_gross_outflows_check,-10768
2Q25,acra_begin,76842
2Q25,acra_end,81809
2Q25,acra_inflows,5091
2Q25,acra_other,1293
2Q25,acra_own,0
2Q25,acra_withdrawals,-1417
2Q25,avg_nia,268703
2Q25,avg_nia_alt,12914
2Q25,avg_nia_fi,255789
2Q25,core_outflows,-5813
2Q25,flow_reins,2031
2Q25,funding_agreements,11707
2Q25,gaap_dac,292
2Q25,gaap_fpb,527
2Q25,gaap_inv_gl,-5
2Q25,gaap_iscb,3428
2Q25,gaap_mrb,-111
2Q25,gaap_ni,686
2Q25,gaap_ni_ahl,464
2Q25,gaap_ni_common,503
2Q25,gaap_ni_nci,222
2Q25,gaap_nii,4429
2Q25,gaap_opex,571
2Q25,gaap_other_rev,6
2Q25,gaap_pref,45
2Q25,gaap_pref_red,84
2Q25,gaap_premiums,107
2Q25,gaap_pretax,652
2Q25,gaap_product_charges,274
2Q25,gaap_tax,-34
2Q25,gaap_total_be,4707
2Q25,gaap_total_rev,5359
2Q25,gaap_vie_gl,468
2Q25,gaap_vie_nii,80
2Q25,gross_inorganic,0
2Q25,gross_organic,21232
2Q25,gross_outflows,-7230
2Q25,inflows_adip,5019
2Q25,inflows_athene,15838
2Q25,inflows_ceded_3p,375
2Q25,net_flows,14002
2Q25,nrl_begin,241666
2Q25,nrl_end,254572
2Q25,other_spread,237
2Q25,outflow_income_planned,-1609
2Q25,outflow_isc_unplanned,-790
2Q25,outflow_maturity_driven,-2389
2Q25,outflow_oosc_planned,-1025
2Q25,outflow_policyholder,-3424
2Q25,outflows_adip,-1417
2Q25,outflows_athene,-5813
2Q25,pga,1
2Q25,retail,7256
2Q25,roll_acra_nci,-5091
2Q25,roll_acra_own,0
2Q25,roll_block,0
2Q25,roll_ceded_3p,-367
2Q25,roll_gross_inflows,21533
2Q25,roll_net_inflows,16075
2Q25,roll_net_withdrawals,-5813
2Q25,roll_other,2644
2Q25,sre,820
2Q25,sre_alt_nii,319
2Q25,sre_alt_nii_pct,9.86
2Q25,sre_cof,-2470
2Q25,sre_cof_pct,-3.68
2Q25,sre_fees,32
2Q25,sre_fees_pct,0.05
2Q25,sre_fi_nii,3180
2Q25,sre_fi_nii_pct,4.97
2Q25,sre_fin,-132
2Q25,sre_fin_pct,-0.2
2Q25,sre_nie,3499
2Q25,sre_nie_pct,5.21
2Q25,sre_nis,1061
2Q25,sre_nis_pct,1.58
2Q25,sre_opex,-109
2Q25,sre_opex_pct,-0.16
2Q25,sre_pct,1.22
2Q25,total_gross_inflows,21232
2Q25,total_gross_inflows_check,21232
2Q25,total_gross_outflows_check,-7230
3Q25,acra_begin,81809
3Q25,acra_end,86826
3Q25,acra_inflows,5167
3Q25,acra_other,1307
3Q25,acra_own,0
3Q25,acra_withdrawals,-1457
3Q25,avg_nia,280607
3Q25,avg_nia_alt,13000
3Q25,avg_nia_fi,267607
3Q25,core_outflows,-9181
3Q25,flow_reins,2542
3Q25,funding_agreements,9724
3Q25,gaap_dac,355
3Q25,gaap_fpb,613
3Q25,gaap_inv_gl,2254
3Q25,gaap_iscb,4164
3Q25,gaap_mrb,131
3Q25,gaap_ni,1878
3Q25,gaap_ni_ahl,1259
3Q25,gaap_ni_common,1223
3Q25,gaap_ni_nci,619
3Q25,gaap_nii,4672
3Q25,gaap_opex,591
3Q25,gaap_other_rev,6
3Q25,gaap_pref,36
3Q25,gaap_pref_red,0
3Q25,gaap_premiums,117
3Q25,gaap_pretax,2144
3Q25,gaap_product_charges,292
3Q25,gaap_tax,266
3Q25,gaap_total_be,5854
3Q25,gaap_total_rev,7998
3Q25,gaap_vie_gl,565
3Q25,gaap_vie_nii,92
3Q25,gross_inorganic,0
3Q25,gross_organic,22616
3Q25,gross_outflows,-10638
3Q25,inflows_adip,4962
3Q25,inflows_athene,17138
3Q25,inflows_ceded_3p,516
3Q25,net_flows,11978
3Q25,nrl_begin,254572
3Q25,nrl_end,266451
3Q25,other_spread,304
3Q25,outflow_income_planned,-1660
3Q25,outflow_isc_unplanned,-903
3Q25,outflow_maturity_driven,-5525
3Q25,outflow_oosc_planned,-1093
3Q25,outflow_policyholder,-3656
3Q25,outflows_adip,-1457
3Q25,outflows_athene,-9181
3Q25,pga,0
3Q25,retail,10046
3Q25,roll_acra_nci,-5167
3Q25,roll_acra_own,0
3Q25,roll_block,0
3Q25,roll_ceded_3p,-517
3Q25,roll_gross_inflows,23379
3Q25,roll_net_inflows,17695
3Q25,roll_net_withdrawals,-9181
3Q25,roll_other,3365
3Q25,sre,872
3Q25,sre_alt_nii,321
3Q25,sre_alt_nii_pct,9.88
3Q25,sre_cof,-2661
3Q25,sre_cof_pct,-3.79
3Q25,sre_fees,35
3Q25,sre_fees_pct,0.05
3Q25,sre_fi_nii,3425
3Q25,sre_fi_nii_pct,5.12
3Q25,sre_fin,-140
3Q25,sre_fin_pct,-0.21
3Q25,sre_nie,3746
3Q25,sre_nie_pct,5.34
3Q25,sre_nis,1120
3Q25,sre_nis_pct,1.6
3Q25,sre_opex,-108
3Q25,sre_opex_pct,-0.15
3Q25,sre_pct,1.24
3Q25,total_gross_inflows,22616
3Q25,total_gross_inflows_check,22616
3Q25,total_gross_outflows_check,-10638
4Q24,acra_begin,68092
4Q24,acra_end,72164
4Q24,acra_inflows,4418
4Q24,acra_other,-681
4Q24,acra_own,1774
4Q24,acra_withdrawals,-1439
4Q24,avg_nia,244796
4Q24,avg_nia_alt,11643
4Q24,avg_nia_fi,233153
4Q24,core_outflows,-5697
4Q24,cq_naic1,93116
4Q24,cq_naic2,68559
4Q24,cq_naic3,3255
4Q24,cq_naic4,1296
4Q24,cq_naic5,522
4Q24,cq_naic6,886
4Q24,cq_nondesig_big,0
4Q24,cq_nondesig_ig,446
4Q24,cq_total_big,5959
4Q24,cq_total_desig,168080
4Q24,cq_total_ig,162121
4Q24,eq_ahl_total,16360
4Q24,eq_aoci,-5465
4Q24,eq_apic,19588
4Q24,eq_nci,9514
4Q24,eq_re,2237
4Q24,eq_total,25874
4Q24,eq_total_le,363343
4Q24,flow_reins,1029
4Q24,funding_agreements,5167
4Q24,gaap_dac,263
4Q24,gaap_fpb,623
4Q24,gaap_inv_gl,-1037
4Q24,gaap_iscb,1642
4Q24,gaap_mrb,-456
4Q24,gaap_ni,1079
4Q24,gaap_ni_ahl,1015
4Q24,gaap_ni_common,970
4Q24,gaap_ni_nci,64
4Q24,gaap_nii,3903
4Q24,gaap_opex,560
4Q24,gaap_other_rev,10
4Q24,gaap_pref,45
4Q24,gaap_pref_red,0
4Q24,gaap_premiums,155
4Q24,gaap_pretax,1150
4Q24,gaap_product_charges,260
4Q24,gaap_tax,71
4Q24,gaap_total_be,2632
4Q24,gaap_total_rev,3782
4Q24,gaap_vie_gl,419
4Q24,gaap_vie_nii,72
4Q24,gross_inorganic,0
4Q24,gross_organic,14197
4Q24,gross_outflows,-7136
4Q24,inflows_adip,4343
4Q24,inflows_athene,8948
4Q24,inflows_ceded_3p,906
4Q24,net_flows,7061
4Q24,nia_abs,28670
4Q24,nia_alts,12000
4Q24,nia_cash,6794
4Q24,nia_clo,27698
4Q24,nia_cmbs,8243
4Q24,nia_cml,28055
4Q24,nia_corporate,86051
4Q24,nia_credit_sub,113749
4Q24,nia_equity_sec,2201
4Q24,nia_munis_foreign,3237
4Q24,nia_other,3665
4Q24,nia_other_inv_sub,52654
4Q24,nia_real_estate_sub,71781
4Q24,nia_rmbs,7635
4Q24,nia_rml,27848
