section,page,cusip,description,naic_designation,svo_symbol,actual_cost,par_value,fair_value,bacv,stated_rate,effective_rate,acquired,maturity
ICO,5855,26442U-AM-6,,1.F,FE,3503050,5000000,3157585,3588522,2.9,4.833,09/16/2022,08/15/2051
ICO,5855,26860#-AA-8,,1.G,PL,8926219,8926219,8187716,8926219,4.17,4.17,02/11/2015,12/31/2041
ICO,5855,26875P-AN-1,,1.G,FE,10977651,11324000,10549716,11053797,3.9,4.21,08/09/2024,04/01/2035
ICO,5855,26875P-AQ-4,,1.G,FE,6005765,5435000,5502429,5827611,5.1,4.161,12/22/2021,01/15/2036
ICO,5855,26884L-AF-6,,2.C,FE,570822,600000,597441,587836,3.9,5.127,04/04/2023,10/01/2027
ICO,5855,26884L-AN-9,,2.C,FE,10424040,12000000,11287805,10874704,3.625,5.675,04/17/2023,05/15/2031
ICO,5855,26884L-AR-0,,2.C,FE,49058778,48800000,51013641,49058172,5.75,5.664,09/22/2025,02/01/2034
ICO,5855,26884L-AV-1,,2.C,FE,499261,500000,509468,499367,5.5,5.554,09/10/2025,07/15/2028
ICO,5855,26884T-AE-2,,1.G,FE,1369299,1275000,1294553,1344600,5.625,5.125,02/06/2014,03/15/2042
ICO,5855,27409L-AC-7,,1.G,FE,7766010,9000000,8143819,7953696,2.0,4.939,01/31/2025,06/15/2030
ICO,5855,27636A-AA-0,,2.A,FE,36192580,36740000,35578259,36196828,5.65,5.756,10/08/2025,10/15/2054
ICO,5855,278865-AW-0,,1.G,FE,3375300,3500000,2645418,3398869,3.7,3.902,11/14/2016,11/01/2046
ICO,5855,278865-BA-7,,1.G,FE,1989618,2000000,1615498,1991345,3.95,3.98,04/17/2018,12/01/2047
ICO,5855,281020-AN-7,,2.C,FE,607693,600000,610651,604517,5.75,5.145,01/09/2025,06/15/2027
ICO,5855,28336L-BH-1,,2.B,FE,4439935,4350000,5077566,4406571,7.42,7.247,04/01/2011,02/15/2037
ICO,5855,28370T-AD-1,,2.B,FE,10216168,8000000,9347409,9708076,7.5,5.386,07/29/2020,11/15/2040
ICO,5855,286857-B*-7,,1.F,Z,2000000,2000000,1824748,2000000,4.29,4.29,09/19/2018,12/20/2038
ICO,5855,28932M-AJ-4,,1.F,FE,13921500,12000000,12734069,13499249,5.848,4.324,02/25/2022,01/19/2041
ICO,5855,291011-AQ-7,,1.F,FE,983350,1000000,1091590,993441,6.0,6.122,08/14/2002,08/15/2032
ICO,5855,292480-AJ-9,,2.B,FE,15951865,16450000,14321938,16042268,5.0,5.207,01/10/2017,05/15/2044
ICO,5855,292505-AD-6,,2.C,FE,2579992,2420000,2600627,2510534,6.5,5.836,07/19/2018,08/15/2034
ICO,5855,29250R-AG-1,,2.A,FE,6841050,7000000,7580070,6917935,6.3,6.474,01/25/2006,12/15/2034
ICO,5855,29250R-AP-1,,2.A,FE,3559095,3000000,3536102,3352967,7.5,6.09,12/14/2011,04/15/2038
ICO,5855,29250R-AT-3,,2.A,FE,8182251,8016000,7973406,8154901,5.5,5.311,10/28/2020,09/15/2040
ICO,5855,29250R-AX-4,,2.A,FE,18584842,15680000,18197275,18512470,7.375,5.804,12/17/2025,10/15/2045
ICO,5855,29261A-AB-6,,3.C,FE,9591700,10000000,9957951,9647571,4.75,5.73,04/07/2025,02/01/2030
ICO,5855,29273R-AP-4,,2.B,FE,6158832,6200000,6292063,6161377,6.05,6.113,06/26/2024,06/01/2041
ICO,5855,29273R-AR-0,,2.B,FE,26383415,24631000,25971323,26337714,6.5,5.816,12/17/2025,02/01/2042
ICO,5855,29273R-BE-8,,2.B,FE,15199444,15968000,15614785,15447970,4.9,5.346,03/23/2023,03/15/2035
ICO,5855,29273R-BF-5,,2.B,FE,14512656,16150000,14307001,14526890,5.15,6.039,12/17/2025,03/15/2045
ICO,5855,29273R-BG-3,,2.B,FE,7942000,8000000,8000782,7999733,4.75,4.838,06/18/2015,01/15/2026
ICO,5855,29273R-BJ-7,,2.B,FE,18684320,18600000,18328678,18682213,6.125,6.086,07/17/2024,12/15/2045
ICO,5855,29273R-BL-2,,2.B,FE,10394039,11200000,9970466,10420099,5.3,5.876,09/06/2024,04/15/2047
ICO,5855,29273V-AP-5,,2.B,FE,35722094,35000000,35959844,35533362,5.55,4.747,03/21/2025,02/15/2028
ICO,5855,29273V-AT-7,,2.B,FE,25727820,24000000,25937239,25569901,6.4,4.842,08/01/2025,12/01/2030
ICO,5855,29273V-AW-0,,2.B,FE,19617002,20000000,18983312,19618554,5.95,6.092,10/30/2025,05/15/2054
ICO,5855,29273V-AX-8,,3.A,FE,30534400,29600000,31606137,30343820,8.0,7.079,04/03/2025,05/15/2054
ICO,5855,29273V-AY-6,,2.B,FE,9895444,9600000,9883332,9888481,5.55,5.094,09/24/2025,05/15/2034
ICO,5855,29273V-AZ-3,,2.B,FE,10106900,10000000,10300169,10089219,5.25,4.964,03/14/2025,07/01/2029
ICO,5855,29273V-BA-7,,2.B,FE,9176288,8800000,9068704,9135783,5.6,5.039,09/06/2024,09/01/2034
ICO,5855,29273V-BB-5,,2.B,FE,12471557,11900000,11457634,12461784,6.05,5.711,09/13/2024,09/01/2054
ICO,5855,29273V-BF-6,,2.B,FE,16155116,16458000,16163071,16160052,6.2,6.337,04/29/2025,04/01/2055
ICO,5855,29278N-AE-3,,2.B,FE,12402720,12000000,11660832,12392746,6.0,5.736,09/13/2024,06/15/2048
ICO,5855,29278N-AR-4,,2.B,FE,22599635,26810000,22491676,22603424,5.0,6.261,12/17/2025,05/15/2050
ICO,5855,29279F-AA-7,,2.B,FE,18628568,16800000,16661380,18488622,6.25,5.47,09/06/2024,04/15/2049
ICO,5855,29280H-AB-8,,2.B,FE,20566729,28740000,20715094,20672089,2.875,5.605,09/09/2025,07/12/2041
ICO,5856,29287@-AB-7,,2.B,Z,5000000,5000000,4991071,5000000,4.63,4.63,10/25/2018,11/27/2028
ICO,5856,29287@-AC-5,,2.B,PL,11000000,11000000,10976660,11000000,4.63,4.63,10/25/2018,01/17/2029
ICO,5856,29287@-AD-3,,2.B,PL,3000000,3000000,2957611,3000000,4.73,4.73,10/25/2018,11/27/2030
ICO,5856,29287@-AE-1,,2.B,PL,15000000,15000000,14802800,15000000,4.73,4.73,10/25/2018,01/17/2031
ICO,5856,29360A-AB-6,,2.C,FE,18302105,19000000,18780417,18333985,5.5,5.83,11/13/2025,01/15/2042
ICO,5856,29362U-AC-8,,3.B,FE,2874870,3000000,2979319,2910140,4.375,5.792,01/09/2025,04/15/2028
ICO,5856,29364G-AL-7,,2.B,FE,5747805,5500000,5153123,5575950,2.8,2.406,07/24/2024,06/15/2030
ICO,5856,29364G-AN-3,,2.B,FE,18530000,20000000,18970964,18830617,1.9,4.44,04/25/2025,06/15/2028
ICO,5856,29364G-AQ-6,,2.C,FE,38713073,38230000,40198616,38641274,7.125,6.779,04/29/2025,12/01/2054
ICO,5856,29364W-AT-5,,1.F,FE,1060069,1000000,913018,1000000,5.0,5.0,12/23/2020,07/15/2044
ICO,5856,29364W-AV-0,,1.F,FE,4737508,4960000,4543760,4747116,4.95,5.303,06/13/2025,01/15/2045
ICO,5856,29364W-AW-8,,1.F,FE,755067,775000,764471,770381,3.25,3.528,12/15/2016,04/01/2028
ICO,5856,29364W-AY-4,,1.F,FE,2788110,3000000,2970455,2950922,2.4,4.649,04/21/2023,10/01/2026
ICO,5856,29364W-BA-5,,1.F,FE,9984400,10000000,9650430,9991295,4.0,4.014,03/20/2018,03/15/2033
ICO,5856,29364W-BB-3,,1.F,FE,13274698,14300000,11570695,13305102,4.2,4.69,09/23/2024,09/01/2048
ICO,5856,29364W-BC-1,,1.F,FE,4964650,5000000,3998348,4969118,4.2,4.241,03/06/2019,04/01/2050
ICO,5856,29365@-AD-8,,2.B,,15000000,15000000,14139920,15000000,4.19,4.19,11/09/2021,11/19/2031
ICO,5856,29365T-AF-1,,1.G,FE,8976420,9000000,8889038,8994871,3.45,3.481,11/14/2017,12/01/2027
ICO,5856,29365T-AH-7,,1.G,FE,2895489,3230000,3003487,2922083,4.5,5.524,04/08/2024,03/30/2039
ICO,5856,29365T-AK-0,,1.G,FE,28330258,32430000,28619203,29104089,1.75,3.91,08/09/2024,03/15/2031
ICO,5856,29365T-AN-4,,1.G,FE,6975920,7000000,6986603,6977027,5.8,5.824,08/08/2023,09/01/2053
ICO,5856,29366M-AA-6,,1.F,FE,2485175,2500000,2021337,2487143,4.2,4.235,03/13/2019,04/01/2049
ICO,5856,29366M-AB-4,,1.F,FE,6317024,6338000,3786495,6319416,2.65,2.666,09/10/2020,06/15/2051
ICO,5856,29366W-AG-1,,1.F,FE,6270135,6320000,6365452,6271603,5.8,5.855,04/29/2025,04/15/2055
ICO,5856,29379V-AG-8,,1.G,FE,20137576,17690000,19074342,19798484,6.125,4.914,09/09/2025,10/15/2039
ICO,5856,29379V-AN-3,,2.B,FE,2680900,2720000,2697221,2681174,7.538,7.723,05/30/2024,06/01/2067
ICO,5856,29379V-AQ-6,,1.G,FE,25794015,21520000,24036026,24873467,6.45,4.933,12/12/2024,09/01/2040
ICO,5856,29379V-AT-0,,1.G,FE,3080073,2350000,2483370,2934977,5.95,3.771,06/17/2020,02/01/2041
ICO,5856,29379V-AV-5,,1.G,FE,16942836,16630000,16989038,16932194,5.7,5.528,12/30/2024,02/15/2042
ICO,5856,29379V-AW-3,,1.G,FE,9952131,10355000,9627609,9917873,4.85,5.216,12/30/2024,08/15/2042
ICO,5856,29379V-AY-9,,1.G,FE,1971160,2000000,1760941,1978501,4.45,4.541,12/23/2014,02/15/2043
ICO,5856,29379V-BA-0,,1.G,FE,26448679,28000000,25625872,26526917,4.85,5.302,06/27/2024,03/15/2044
ICO,5856,29379V-BC-6,,1.G,FE,1889919,2000000,1877167,1894241,5.1,5.552,07/31/2024,02/15/2045
ICO,5856,29379V-BH-5,,1.G,FE,2437967,2500000,2498583,2495299,3.7,5.279,06/18/2024,02/15/2026
ICO,5856,29379V-BJ-1,,1.G,FE,1928096,2000000,1812017,1930684,4.9,5.177,09/11/2024,05/15/2046
ICO,5856,29379V-BM-4,,2.B,FE,4202583,4250000,4238371,4215993,7.126,7.247,12/11/2025,08/16/2077
ICO,5856,29379V-BN-2,,2.B,FE,63752774,64413000,64254222,63655657,5.25,5.273,10/08/2025,08/16/2077
ICO,5856,29379V-BQ-5,,1.G,FE,14979750,15000000,12329552,14982889,4.25,4.258,02/01/2018,02/15/2048
ICO,5856,29379V-BR-3,,2.B,FE,15381890,15700000,15635165,15383536,5.375,5.493,03/10/2025,02/15/2078
ICO,5856,29379V-BZ-5,,1.G,FE,3974400,4000000,2925573,3976232,3.95,3.982,01/06/2020,01/31/2060
ICO,5856,29379V-CB-7,,1.G,FE,978540,1000000,670150,980286,3.3,3.412,10/06/2021,02/15/2053
ICO,5856,29379V-CF-8,,1.G,FE,39882000,40000000,40458940,39902086,4.85,4.887,01/02/2024,01/31/2034
ICO,5856,29444U-BG-0,,2.B,FE,6247951,6700000,6480042,6403420,1.8,4.82,02/21/2025,07/15/2027
ICO,5856,29444U-BL-9,,2.A,FE,8016796,8880000,8427682,8270491,1.55,4.872,02/21/2025,03/15/2028
ICO,5856,29444U-BM-7,,2.A,FE,17898840,18000000,11306354,17909973,2.95,2.978,09/23/2020,09/15/2051
ICO,5856,29444U-BQ-8,,2.A,FE,1997120,2000000,1981896,1999778,1.45,1.48,05/03/2021,05/15/2026
ICO,5856,29605J-AA-4,,3.A,FE,15198450,15000000,15442139,15153542,6.25,5.766,04/07/2025,04/15/2029
ICO,5856,29669*-AA-9,,1.G,,32123366,32123366,31546906,32123366,3.99,3.989,02/22/2013,02/15/2035
ICO,5857,29669*-AB-7,,1.G,YE,4646111,4646111,4103026,4646111,3.9,3.9,12/21/2016,02/15/2040
ICO,5857,29736R-AF-7,,1.G,FE,1107535,1200000,924634,1126145,3.7,4.219,01/18/2019,08/15/2042
ICO,5857,30034W-AB-2,,2.B,FE,13947900,15000000,14301036,14097134,2.9,4.689,04/25/2025,09/15/2029
ICO,5857,30034W-AE-6,,2.C,FE,30499607,31000000,31729796,30501180,6.65,6.688,10/08/2025,06/01/2055
ICO,5857,30036F-AE-1,,2.A,FE,20143400,20000000,20299664,20112021,4.7,4.43,04/25/2025,03/13/2028
ICO,5857,30037F-AA-8,,2.A,FE,26216249,26160000,26679896,26211903,5.15,5.036,03/10/2025,12/15/2027
ICO,5857,30040W-AH-1,,2.B,FE,1175400,1000000,710391,1151818,3.45,2.585,08/11/2020,01/15/2050
ICO,5857,30040W-AQ-1,,2.B,FE,21727914,22920000,22622104,22435666,2.9,4.786,03/27/2025,03/01/2027
ICO,5857,30040W-AU-2,,2.B,FE,12480500,12500000,12632706,12484793,5.125,5.145,05/08/2023,05/15/2033
ICO,5857,30040W-AZ-1,,2.B,FE,4986150,5000000,5292623,4987443,5.95,5.988,04/15/2024,07/15/2034
ICO,5857,30040W-BA-5,,2.B,FE,13597824,13600000,14346902,13598204,5.85,5.853,04/15/2024,04/15/2031
ICO,5857,30042*-AA-5,,1.G,,8000000,8000000,6934411,8000000,2.11,2.11,09/15/2021,10/01/2031
ICO,5857,30161M-AN-3,,2.A,FE,11796760,12000000,12075667,11814992,5.6,5.746,04/14/2023,06/15/2042
ICO,5857,30161N-AQ-4,,2.B,FE,9972674,10000000,9971823,9983537,4.95,4.972,05/19/2016,06/15/2035
ICO,5857,30161N-AS-0,,2.B,FE,4983265,5000000,4630734,4986556,5.1,5.122,05/19/2016,06/15/2045
ICO,5857,30161N-AU-5,,2.B,FE,5781900,6000000,5990868,5971770,3.4,5.07,12/18/2023,04/15/2026
ICO,5857,30161N-BK-6,,2.B,FE,19979000,20000000,20810844,19984678,5.3,5.313,02/16/2023,03/15/2033
ICO,5857,30161N-BL-4,,2.B,FE,27028198,27410000,26591798,27032130,5.6,5.7,09/09/2025,03/15/2053
ICO,5857,30161N-BQ-3,,2.C,FE,36753900,37000000,38541957,36761467,6.5,6.53,10/08/2025,03/15/2055
ICO,5857,30161N-BS-9,,2.B,FE,13767184,13730000,13831058,13768413,5.875,5.854,09/09/2025,03/15/2055
ICO,5857,30231G-AN-2,,1.D,FE,15991044,19200000,15043242,16113021,3.567,4.866,09/23/2024,03/06/2045
ICO,5857,30231G-AT-9,,1.D,FE,275000,275000,274651,275000,3.043,3.043,02/29/2016,03/01/2026
ICO,5857,30231G-AW-2,,1.D,FE,24777036,27500000,23042291,24873952,4.114,4.86,09/13/2024,03/01/2046
ICO,5857,30231G-AY-8,,1.D,FE,2734690,3500000,2805606,2776867,2.995,5.12,10/28/2024,08/16/2039
ICO,5857,30231G-AZ-5,,1.D,FE,14912650,20200000,13824694,15058417,3.095,4.931,09/13/2024,08/16/2049
ICO,5857,30231G-BF-8,,1.D,FE,25206750,26800000,24614173,25339112,4.227,4.756,09/06/2024,03/19/2040
ICO,5857,30231G-BG-6,,1.D,FE,8000696,8800000,7401613,8022119,4.327,4.958,09/06/2024,03/19/2050
ICO,5857,30231G-BM-3,,1.D,FE,6912468,9200000,6617802,6996346,3.452,5.158,12/12/2023,04/15/2051
ICO,5857,30231G-BN-1,,1.D,FE,13328650,15000000,14059791,13601401,2.61,4.814,02/13/2025,10/15/2030
ICO,5857,302570-AW-6,,2.B,FE,4500000,5000000,4365708,5774451,6.314,5.414,04/25/2017,10/01/2066
ICO,5857,302570-AX-4,,2.B,FE,4863440,5500000,4932125,5277986,6.11,6.437,05/30/2024,06/15/2067
ICO,5857,30288*-AC-4,,2.B,FE,11367000,11367000,10639963,11367000,4.28,4.28,12/13/2017,06/30/2038
ICO,5857,30288*-AE-0,,2.B,FE,7329057,7759000,7222858,7351708,4.39,5.224,05/30/2024,12/31/2038
ICO,5857,30290Y-AF-8,,1.D,FE,10000000,10000000,9803094,10000000,2.95,2.95,10/21/2021,01/31/2027
ICO,5857,30303M-8G-0,,1.D,FE,2828340,3000000,2995434,2925897,3.5,5.107,08/21/2023,08/15/2027
ICO,5857,30303M-8J-4,,1.D,FE,4904717,5000000,4074559,4909893,4.45,4.568,12/29/2022,08/15/2052
ICO,5857,30303M-8K-1,,1.D,FE,8511072,9100000,7359244,8522520,4.65,5.027,04/02/2024,08/15/2062
ICO,5857,30303M-8R-6,,1.D,FE,19417300,18200000,17489721,19404678,5.75,5.335,07/30/2025,05/15/2063
ICO,5857,30303M-8V-7,,1.D,FE,12418146,11700000,10882565,12404436,5.4,4.999,09/13/2024,08/15/2054
ICO,5857,30303M-8W-5,,1.D,FE,30512870,28700000,26704948,30494725,5.55,5.172,08/20/2025,08/15/2064
ICO,5857,30303M-8X-3,,1.D,FE,67353741,67500000,65661192,67354740,5.5,5.518,10/31/2025,11/15/2045
ICO,5857,30303M-AE-2,,1.D,FE,25930590,26000000,24986577,25930893,5.625,5.643,10/31/2025,11/15/2055
ICO,5857,30306V-A@-8,,2.B,FE,24790400,24790400,23154179,24790400,4.36,4.362,07/24/2019,06/30/2039
ICO,5857,303250-AE-4,,3.A,FE,4996950,5000000,5006859,4999055,5.25,5.302,04/04/2025,05/15/2026
ICO,5857,30571#-AA-0,,2.A,,25831971,25831971,23337660,25831971,4.16,4.16,09/02/2015,11/15/2043
ICO,5857,31428X-DK-9,,2.B,FE,3837707,4000000,3703749,3841116,3.9,4.435,10/08/2025,02/01/2035
ICO,5858,31428X-DM-5,,2.B,FE,7897636,8000000,6361231,7898950,3.875,3.979,10/01/2025,08/01/2042
ICO,5858,31428X-DN-3,,2.B,FE,4492127,4685000,3796079,4493870,4.1,4.441,10/08/2025,04/15/2043
ICO,5858,31428X-DP-8,,2.B,FE,16610638,15768000,14400246,16604473,5.1,4.658,10/27/2025,01/15/2044
ICO,5858,31428X-DQ-6,,2.B,FE,4148995,5105000,4043508,4154164,4.1,5.716,10/27/2025,02/01/2045
ICO,5858,31428X-DV-5,,2.B,FE,6955699,7000000,6128903,6956041,4.95,4.996,10/08/2025,10/17/2048
ICO,5858,31428X-DX-1,,2.B,FE,1004813,1000000,729008,1004813,4.5,4.474,10/08/2025,02/01/2065
ICO,5858,314382-AA-0,,2.A,FE,945473,1000000,988171,976071,3.046,5.357,07/10/2024,01/31/2027
ICO,5858,31620R-AL-9,,2.B,FE,3987550,4000000,2545621,3988689,3.2,3.216,09/16/2021,09/17/2051
ICO,5858,316773-CH-1,,2.B,FE,2854830,3000000,3688075,2897515,8.25,8.711,11/10/2009,03/01/2038
ICO,5858,316773-DA-5,,2.A,FE,6243657,6550000,6430486,6359089,2.55,4.817,02/21/2025,05/05/2027
ICO,5858,316773-DJ-6,,2.A,FE,12502347,12070000,12566811,12371079,6.361,4.912,02/21/2025,10/27/2028
ICO,5858,316773-DK-3,,2.A,FE,87289491,83550000,88003424,86511003,6.339,4.856,04/29/2025,07/27/2029
ICO,5858,31847R-AH-5,,2.C,FE,9582843,10300000,8979491,9816080,2.4,3.277,07/14/2022,08/15/2031
ICO,5858,337738-AV-0,,2.B,FE,9938800,10000000,7867610,9946299,4.4,4.437,06/10/2019,07/01/2049
ICO,5858,33830G-AA-9,,1.G,FE,22500000,22500000,23750663,22500000,5.791,5.791,03/01/2023,02/15/2033
ICO,5858,33834D-AA-2,,1.G,FE,1284818,1495000,1408302,1362104,2.85,5.147,12/01/2022,05/15/2030
ICO,5858,33972P-AA-7,,2.B,FE,7593000,7593000,7079242,7593000,4.125,4.125,07/12/2016,03/31/2038
ICO,5858,34107#-AA-5,,3.A,PL,21000000,21000000,20770279,21000000,4.7,4.7,06/30/2021,05/01/2028
ICO,5858,34107@-AA-7,,2.B,PL,22731492,22731492,20335384,22731492,2.92,2.919,06/30/2021,08/15/2038
ICO,5858,341081-EQ-6,,1.E,FE,7579709,7625000,8130578,7603498,5.625,5.668,01/19/2007,04/01/2034
ICO,5858,341081-EX-1,,1.E,FE,16400946,13000000,14241045,15330761,6.2,4.071,03/13/2019,06/01/2036
ICO,5858,341081-EY-9,,1.E,FE,3259910,3000000,3168798,3240016,5.85,4.921,09/11/2024,05/01/2037
ICO,5858,341081-FB-8,,1.E,FE,4783191,4300000,4645037,4752317,5.96,4.873,09/06/2024,04/01/2039
ICO,5858,341081-FC-6,,1.E,FE,24593980,23180000,24480530,24558506,5.69,5.095,10/08/2025,03/01/2040
ICO,5858,341081-FG-7,,1.E,FE,1806527,1650000,1411490,1772906,4.05,3.438,07/19/2019,06/01/2042
ICO,5858,341081-GM-3,,1.E,FE,3785817,3750000,3603381,3785192,5.3,5.234,10/15/2024,04/01/2053
ICO,5858,341081-GR-2,,1.E,FE,8995770,9000000,9014234,8999440,4.45,4.467,05/15/2023,05/15/2026
ICO,5858,341099-CB-3,,1.F,FE,5827953,4827000,5131477,5386568,5.9,4.022,06/01/2018,03/01/2033
ICO,5858,341099-CH-0,,1.F,FE,14981334,13470000,14990473,14952867,6.35,5.09,09/09/2025,09/15/2037
ICO,5858,341099-CL-1,,1.F,FE,20527351,13355000,14919816,18646295,6.4,2.645,06/19/2020,06/15/2038
ICO,5858,341099-CN-7,,1.F,FE,5932595,5500000,5727081,5860021,5.65,4.993,08/20/2025,04/01/2040
ICO,5858,341099-CR-8,,1.F,FE,1458162,1245000,1024719,1417826,3.85,2.788,10/22/2020,11/15/2042
ICO,5858,34489@-AE-7,,1.F,FE,2000000,2000000,1688148,2000000,3.79,3.79,06/26/2019,10/05/2039
ICO,5858,34490@-AC-8,,1.F,FE,7624860,8333300,8144867,8005961,2.97,5.342,08/18/2023,10/05/2027
ICO,5858,34490@-AD-6,,1.F,FE,6000000,6000000,5484348,6000000,3.33,3.33,07/17/2020,10/05/2032
ICO,5858,34490@-AE-4,,1.F,FE,7674460,8600000,7534448,7771271,3.53,4.698,05/30/2024,10/05/2035
ICO,5858,34490@-AF-1,,1.F,FE,6691323,7579000,6352103,6745721,3.85,4.823,05/30/2024,10/05/2040
ICO,5858,34490@-AH-7,,1.F,FE,3701134,3816600,3730299,3753732,2.97,3.94,05/30/2024,10/05/2027
ICO,5858,34490@-AK-0,,1.F,FE,3903198,4421000,3705324,3934930,3.85,4.823,05/30/2024,10/05/2040
ICO,5858,34501*-AE-3,,1.F,FE,15000000,15000000,15407918,15000000,5.67,5.67,03/09/2023,10/05/2038
ICO,5858,34501*-AF-0,,1.F,FE,15000000,15000000,15043596,15000000,5.72,5.72,03/09/2023,10/05/2043
ICO,5858,34959E-AA-7,,2.A,FE,27225158,27499000,27326405,27487296,1.0,1.208,08/12/2021,03/15/2026
ICO,5858,34959J-AH-1,,2.B,FE,2211314,2000000,1653195,2169173,4.3,3.697,06/14/2017,06/15/2046
ICO,5858,349631-AN-1,,2.A,FE,4773240,5000000,5279600,4875630,5.875,6.211,04/18/2006,01/15/2036
ICO,5858,35137L-AH-8,,2.B,FE,24978750,25000000,25326435,24983697,4.709,4.732,05/01/2025,01/25/2029
ICO,5858,35137L-AJ-4,,2.B,FE,22493390,21500000,21602048,22252614,5.476,5.073,10/30/2025,01/25/2039
ICO,5858,35137L-AK-1,,2.B,FE,16129520,11000000,10590785,15435304,5.576,3.083,06/17/2020,01/25/2049
ICO,5859,35137L-AL-9,,2.B,FE,565618,500000,485553,529699,3.5,1.956,09/09/2020,04/08/2030
ICO,5859,36143L-2A-2,,1.F,FE,3155574,3400000,3397061,3394537,1.625,5.878,03/21/2024,01/15/2026
ICO,5859,36143L-2D-6,,1.F,FE,36595232,38200000,36020476,37135844,1.95,3.009,03/27/2025,09/15/2028
ICO,5859,36143L-2G-9,,1.F,FE,18921948,20600000,20227035,19940603,2.25,5.541,06/26/2024,01/06/2027
ICO,5859,36143L-2L-8,,1.F,FE,24750931,24400000,25101795,24656006,5.5,5.119,10/28/2024,01/08/2029
ICO,5859,36143L-2N-4,,1.F,FE,46714448,47020000,47236137,46808490,4.4,4.674,04/29/2025,09/23/2027
ICO,5859,36143L-2R-5,,1.F,FE,10057700,10000000,10242547,10048827,5.4,5.264,02/13/2025,01/13/2030
ICO,5859,36143L-2S-3,,1.F,FE,26319150,25910000,26483927,26309235,5.9,5.678,10/08/2025,01/13/2035
ICO,5859,36158F-AD-2,,1.F,FE,28938230,24000000,26678021,25527405,7.75,6.096,12/18/2006,06/15/2030
ICO,5859,36256#-AA-9,,2.B,PL,21356481,21356481,17931950,21356243,3.77,3.771,01/30/2020,12/31/2044
ICO,5859,36257@-AA-0,,2.B,PL,15279894,17000000,16409325,15681321,4.15,6.256,05/30/2024,06/30/2030
ICO,5859,363576-AB-5,,2.B,FE,10279662,13857000,9685414,10292066,3.5,5.352,10/30/2025,05/20/2051
ICO,5859,36962G-XZ-2,,1.G,,914990,926000,1049443,921661,6.75,6.844,03/13/2002,03/15/2032
ICO,5859,370334-CJ-1,,2.B,FE,1087811,1200000,1052399,1101412,4.7,5.334,01/23/2019,04/17/2048
ICO,5859,37045V-AJ-9,,2.B,FE,6945740,7000000,6298708,6955674,5.2,5.253,05/18/2017,04/01/2045
ICO,5859,37045X-DD-5,,2.B,FE,2994210,3000000,2997145,2999977,1.25,1.29,01/05/2021,01/08/2026
ICO,5859,37045X-DH-6,,2.B,FE,4490200,5000000,4813483,4680881,2.4,5.422,06/28/2024,04/10/2028
ICO,5859,37045X-EN-2,,2.B,FE,23980320,24000000,25014158,23988823,5.8,5.817,12/04/2023,01/07/2029
ICO,5859,371559-AB-1,,3.C,FE,9905300,10000000,10336672,9913557,6.25,6.419,04/04/2025,04/15/2032
ICO,5859,372460-AD-7,,2.C,FE,16676201,15000000,16705560,16603572,6.875,5.152,09/05/2025,11/01/2033
ICO,5859,372460-AE-5,,2.C,FE,3178320,3000000,3172971,3107755,6.5,5.08,12/18/2023,11/01/2028
ICO,5859,372460-D#-9,,2.B,,35329500,35253058,33216651,35253058,2.02,2.02,10/30/2017,10/30/2029
ICO,5859,37270*-AA-3,,1.G,PL,13918439,13918439,10614078,13918439,3.58,3.596,03/30/2021,06/30/2051
ICO,5859,373334-JN-2,,1.G,FE,5830505,4957000,5253659,5581042,5.95,4.654,04/06/2017,02/01/2039
ICO,5859,373334-JS-1,,1.G,FE,27059176,28130000,26734161,27088509,4.75,5.111,10/08/2025,09/01/2040
ICO,5859,373334-JW-2,,1.G,FE,5199150,5000000,4380437,5152867,4.3,4.041,11/13/2017,03/15/2042
ICO,5859,373334-KQ-3,,1.F,FE,9751900,10000000,10150069,9778386,4.7,5.112,02/07/2025,05/15/2032
ICO,5859,373334-LD-1,,1.F,FE,48764310,49000000,47804327,48765206,5.5,5.533,09/24/2025,10/01/2055
ICO,5859,374593-A*-2,,2.B,PL,9618333,9618333,10507522,9618333,7.1,7.101,06/30/2010,04/01/2040
ICO,5859,375558-AS-2,,1.G,FE,17016023,11600000,12056184,15868155,5.65,2.713,06/19/2020,12/01/2041
ICO,5859,375558-BA-0,,1.G,FE,1086680,1000000,886706,1065801,4.5,3.995,03/12/2015,02/01/2045
ICO,5859,375558-BD-4,,1.G,FE,4691800,4000000,3637238,4542761,4.75,3.767,07/06/2016,03/01/2046
ICO,5859,37576*-AA-4,,2.A,,9565000,9565000,7615259,9565000,3.56,3.56,10/30/2019,11/01/2049
ICO,5859,377372-AB-3,,1.F,FE,114715,100000,105815,108875,5.375,4.101,06/18/2018,04/15/2034
ICO,5859,377372-AE-7,,1.F,FE,44463705,36496000,40971107,42179934,6.375,4.681,08/22/2019,05/15/2038
ICO,5859,377372-AJ-6,,1.F,FE,7768359,7685000,6732284,7753592,4.2,4.124,08/22/2019,03/18/2043
ICO,5859,377372-AN-7,,1.F,FE,9607200,10000000,10010191,9817780,3.875,4.696,11/18/2022,05/15/2028
ICO,5859,378272-BQ-0,,2.A,FE,29884800,30000000,33128649,29904549,6.5,6.553,09/27/2023,10/06/2033
ICO,5859,378272-BY-3,,2.A,FE,42098900,42000000,42723962,42078078,4.907,4.819,04/25/2025,04/01/2028
