section,page,code,label,monies
ABS,6024,1539999999,Subtotal - asset-backed securities - non-financial asset- backed securities - practical ex,1060108784;1058796959;1067610887;1061475473;1050954;179147;11097524;36326528;795849820
ABS,6024,1549999999,Subtotal - asset-backed securities - non-financial asset- backed securities - practical ex,352207188;352207188;354235046;352207188;240801;20163738;40087150
ABS,6024,1609999999,Subtotal - asset-backed securities - non-financial asset- backed securities - practical ex,2331913138;2335801536;2325208327;2332676701;3296579;6629214;13559103;105937991;1590561051
ABS,6025,1739999999,Subtotal - asset-backed securities - non-financial asset- backed securities - full analysi,1262604691;1285242134;1254616332;1273276800;1858529;2760215;1807718;10078002;3630268;50471445;1060919986
ABS,6026,1749999999,Subtotal - asset-backed securities - non-financial asset- backed securities - full analysi,967684287;1042375569;1060596419;1047758624;2962464;100089868;29082551;57256368;692944470
ABS,6026,1809999999,Subtotal - asset-backed securities - non-financial asset- backed securities - full analysi,2230288978;2327617703;2315212751;2321035424;1858529;5722679;1807718;110167870;32712819;107727813;1753864456
ABS,6026,1889999999,"Total - asset-backed securities (unaffiliated) 44,090,757,116 47,423,878,916 44,421,290,87",44090757116;47423878916;44421290877;44477221116;-6881594;5525610;88471767;677357443;337978058;2197153408;19116179255
ABS,6026,1899999999,"Total - asset-backed securities (affiliated) 28,671,826,984 29,029,703,431 28,764,620,966 ",28671826984;29029703431;28764620966;28986680362;12827698;16042951;380177084;278167167;1026577697;16277395157
ABS,6026,1909999999,"Total - asset-backed securities 72,762,584,100 76,453,582,347 73,185,911,844 73,463,901,47",72762584100;76453582347;73185911844;73463901478;-6881594;18353308;104514718;1057534527;616145225;3223731106;35393574411
ABS,6026,2009999999,"Total long term bonds - issuer credit obligations and asset - backed securities 158,050,61",158050616650;162856628060;156057511148;158852395199;-9708269;46347947;109313580;1632578964;1504450447;6230478120;105990035085;73367507;59175894
