section,page,code,label,monies
ALL,4301,0019999999,"Subtotal - Bonds - U.S. Governments - Issuer Obligations 5,397,151,468 XXX 4,763,736,910 5",5397151468;4763736910;5565497100;5415852290;9204326;43760926;112029866
ALL,4304,0029999999,"Subtotal - Bonds - U.S. Governments - Residential Mortgage-Backed Securities 40,609,549 XX",40609549;29630367;38694557;-2783055;2139915;1386281;16341497
ALL,4305,0039999999,"Subtotal - Bonds - U.S. Governments - Commercial Mortgage- Backed Securities 233,141,997 X",233141997;183314599;243111370;237351235;343590;605902;7251234
ALL,4305,0109999999,"Total - U.S. Government Bonds 5,670,903,014 XXX 4,976,681,876 5,808,608,470 5,691,898,082 ",5670903014;4976681876;5808608470;5691898082;6764861;2139915;45753109;135622597
ALL,4306,0219999999,"Subtotal - Bonds - All Other Governments - Issuer Obligations 541,997,126 XXX 386,287,053 ",541997126;386287053;493880945;534630347;-1563942;-2544102;4948927;22853430
ALL,4306,0309999999,"Total - All Other Government Bonds 541,997,126 XXX 386,287,053 493,880,945 534,630,347 (1,",541997126;386287053;493880945;534630347;-1563942;-2544102;4948927;22853430
ALL,4306,0419999999,"Subtotal - Bonds - U.S. States, Territories and Possessions - Issuer Obligations 27,725,34",27725346;24142603;24904218;26984393;-190159;158358;1123533
ALL,4306,0509999999,"Total - U.S. States, Territories and Possessions Bonds 27,725,346 XXX 24,142,603 24,904,21",27725346;24142603;24904218;26984393;-190159;158358;1123533
ALL,4306,0619999999,"Subtotal - Bonds - U.S. Political Subdivisions - Issuer Obligations 36,949,982 XXX 35,888,",36949982;35888363;35815000;36507571;-42907;921619;1381688
ALL,4306,0709999999,"Total - U.S. Political Subdivisions Bonds 36,949,982 XXX 35,888,363 35,815,000 36,507,571 ",36949982;35888363;35815000;36507571;-42907;921619;1381688
ALL,4309,0819999999,"Subtotal - Bonds - U.S. Special Revenues - Issuer Obligations 449,592,938 XXX 433,638,932 ",449592938;433638932;482037155;466082235;2086680;4593572;19783833
ALL,4309,0829999999,"Subtotal - Bonds - U.S. Special Revenues - Residential Mortgage- Backed Securities 776,591",776591467;788224686;880419442;779502736;2175921;2663223;30549827
ALL,4309,0909999999,"Total - U.S. Special Revenues Bonds 1,226,184,405 XXX 1,221,863,618 1,362,456,597 1,245,58",1226184405;1221863618;1362456597;1245584971;4262601;7256795;50333660
ALL,4390,1019999999,"Subtotal - Bonds - Industrial and Miscellaneous (Unaffiliated) - Issuer Obligations 48,857",48857841150;45007633313;48228813324;48352724495;-337740;-3072362;44097506;-180166956;597465654;1638921280
ALL,4443,1029999999,Subtotal - Bonds - Industrial and Miscellaneous (Unaffiliated) - Residential Mortgage-Back,5043033927;5041523704;7924532910;5033284874;-1070316;-17147220;7576931;-12879126;21141036;248521868
ALL,4452,1039999999,Subtotal - Bonds - Industrial and Miscellaneous (Unaffiliated) - Commercial Mortgage-Backe,8816566387;8648795563;8812214789;8798980156;-8361934;2488448;12824205;30790972;412759030
ALL,4501,1049999999,Subtotal - Bonds - Industrial and Miscellaneous (Unaffiliated) - Other Loan-Backed and Str,30046049400;29472235792;30002076926;29748193690;-2599397;29006764;29133750;-312643952;336803541;1323259590
ALL,4501,1109999999,"Total - Industrial and Miscellaneous (Unaffiliated) Bonds 92,763,490,864 XXX 88,170,188,37",92763490864;88170188372;94967637949;91933183215;-12369387;11275630;93632392;-505690034;986201203;3623461768
ALL,4502,1219999999,"Subtotal - Bonds - Hybrid Securities - Issuer Obligations 299,086,740 XXX 306,114,849 304,",299086740;306114849;304816908;300009084;-438821;-935693;3076584;12830803
ALL,4502,1309999999,"Total - Hybrid Securities 299,086,740 XXX 306,114,849 304,816,908 300,009,084 (438,821) (9",299086740;306114849;304816908;300009084;-438821;-935693;3076584;12830803
ALL,4502,1419999999,"Subtotal - Bonds - Parent, Subsidiaries and Affiliates - Issuer Obligations 987,610,170 XX",987610170;980713435;986970000;987167280;-145613;10959967;15477590
ALL,4503,1429999999,"Subtotal - Bonds - Parent, Subsidiaries and Affiliates - Residential Mortgage-Backed Secur",328360965;319682719;313414406;319533359;-67270;-84323;-8676007;2106927
ALL,4503,1439999999,"Subtotal - Bonds - Parent, Subsidiaries and Affiliates - Commercial Mortgage-Backed Securi",1466885712;1284693036;1497083712;1466885712;3880615;63695069
ALL,4510,1449999999,"Subtotal - Bonds - Parent, Subsidiaries and Affiliates - Other Loan- Backed and Structured",26417965705;26052132771;26290803989;26269384059;25716643;-207322492;239507229;944437031
ALL,4511,1469999999,"Subtotal - Bonds - Affiliated Bank Loans - Acquired 912,544,704 XXX 912,112,637 914,280,62",912544704;912112637;914280625;913124206;301115;316201;69811155
ALL,4511,1509999999,"Total - Parent, Subsidiaries and Affiliates Bonds 30,113,367,256 XXX 29,549,334,598 30,002",30113367256;29549334598;30002552732;29956094616;-67270;25787822;-215998499;256770939;1093420845
ALL,4512,1829999999,"Subtotal - Bonds - Unaffiliated Bank Loans - Acquired 1,262,465,547 XXX 1,214,653,401 1,24",1262465547;1214653401;1243562803;1237549385;417560;-16377062;10325462;38753643
ALL,4512,1909999999,"Subtotal - Bonds - Unaffiliated Bank Loans 1,262,465,547 XXX 1,214,653,401 1,243,562,803 1",1262465547;1214653401;1243562803;1237549385;417560;-16377062;10325462;38753643
ALL,4512,2419999999,"Total - Issuer Obligations 56,597,954,920 XXX 51,938,155,458 56,122,734,650 56,119,957,695",56597954920;51938155458;56122734650;56119957695;-337740;5837202;44097506;-183646751;665885607;1824402023
ALL,4512,2429999999,"Total - Residential Mortgage-Backed Securities 6,188,595,908 XXX 6,179,061,476 9,118,366,7",6188595908;6179061476;9118366758;6171015526;-1137586;-17838677;9716846;-21555133;27297467;295413192
ALL,4512,2439999999,"Total - Commercial Mortgage-Backed Securities 10,516,594,096 XXX 10,116,803,198 10,552,409",10516594096;10116803198;10552409871;10503217103;-8361934;2832038;12824205;35277489;483705333
ALL,4513,2449999999,"Total - Other Loan-Backed and Structured Securities 56,464,015,105 XXX 55,524,368,563 56,2",56464015105;55524368563;56292880915;56017577749;-2599397;54723407;29133750;-519966444;576310770;2267696621
ALL,4513,2459999999,Total - SVO Identified Funds XXX XXX XXX XXX XXX XXX,
ALL,4513,2469999999,"Total - Affiliated Bank Loans 912,544,704 XXX 912,112,637 914,280,625 913,124,206 301,115 ",912544704;912112637;914280625;913124206;301115;316201;69811155
ALL,4513,2479999999,"Total - Unaffiliated Bank Loans 1,262,465,547 XXX 1,214,653,401 1,243,562,803 1,237,549,38",1262465547;1214653401;1243562803;1237549385;417560;-16377062;10325462;38753643
ALL,4513,2489999999,Total - Unaffiliated Certificates of Deposit XXX XXX XXX XXX XXX XXX,
ALL,4513,2509999999,"Total Bonds 131,942,170,280 XXX 125,885,154,733 134,244,235,622 130,962,441,664 (12,436,65",131942170280;125885154733;134244235622;130962441664;-12436657;46272645;95772307;-741545390;1315412996;4979781967;13440851
