table,rank,key,name,section,n_positions,bacv
top_issuers,1,11283@,BROOKFIELD SECURITIZATION CFO ABS_ABS,ABS,1,422800000
top_issuers,2,61036*,MONROE CAPITAL STARR CLO I LLC ABS_ABS,ABS,3,307200101
top_issuers,3,61036@,MONROE CAPITAL STARR CLO II LL ABS_ABS,ABS,3,299721496
top_issuers,4,46500Q,ISQ GLOBAL INFRASTRUCTURE CRED SENIOR RE,ABS,2,225381764
top_issuers,5,38141G,GOLDMAN SACHS GROUP INC/THE SENIOR CORP_,ICO,21,207755059
top_issuers,6,06738E,BARCLAYS PLC SENIOR CORP_BND,ICO,16,207166493
top_issuers,7,PPFZEQ,Hooke 2025-1 Parent LP - Class A-2 Notes,ABS,3,199869920
top_issuers,8,55067@,LUX AETERNA 2022-1 LLC ABS_ABS,ABS,3,189645298
top_issuers,9,718172,PHILIP MORRIS INTERNATIONAL IN SENIOR CO,ICO,22,187525229
top_issuers,10,55068*,LUX AETERNA 2022-2 LLC ABS_ABS,ABS,3,186310024
top_issuers,11,47931*,JOHNSTON 2023-1 LLC SUBSEC ABS_ABS,ABS,6,185587717
top_issuers,12,BMS3SS,SALSA HOLDING 4 SARL SUB TERM_LOAN,ABS,2,184883040
top_issuers,13,41363*,HARRELL 2023-1 LLC SUBSEC ABS_ABS,ABS,6,183794594
top_issuers,14,46523#,ISSERLIS 2023-1 LLC SUBSEC ABS_ABS,ABS,6,176439447
top_issuers,15,02209S,ALTRIA GROUP INC SENIOR CORP_BND,ICO,15,172247309
top_issuers,16,95000U,WELLS FARGO & COMPANY SENIOR CORP_BND,ICO,19,171949110
top_issuers,17,682680,ONEOK INC SENIOR CORP_BND,ICO,26,166599184
top_issuers,18,05616H,BX TRUST SUB SENIOR_CMBS _25-LIFE 144A,ABS,2,165815000
top_issuers,19,1248E#,CCO II SHORE HOLDCO LLC SUB REVOLVE_LOAN,ABS,1,160723496
top_issuers,20,06051G,BANK OF AMERICA CORP SENIOR CORP_BND,ICO,27,159561567
top_issuers,21,PPGXAL,Hooke 2025-1 LLC - Class A-2 Notes,ABS,7,152207828
top_issuers,22,92343V,VERIZON COMMUNICATIONS INC SENIOR CORP_B,ICO,20,152137337
top_issuers,23,PPFYJA,Hooke 2025-1 LLC - Class B-2 Notes,ABS,6,151169357
top_issuers,24,224044,COX COMMUNICATIONS INC SENIOR CORP_BND 1,ICO,13,150336227
top_issuers,25,378272,GLENCORE FUNDING LLC SENIOR CORP_BND 144,ICO,14,146975863
top_issuers,26,172967,CITIGROUP INC SENIOR CORP_BND,ICO,19,145926562
top_issuers,27,G2001*,BRE COLOMBIA HOLDINGS LIMITED TERM_LOAN,ICO,2,142562284
top_issuers,28,46647P,JPMORGAN CHASE & CO SENIOR CORP_BND,ICO,19,134487962
top_issuers,29,20030N,COMCAST CORPORATION SENIOR CORP_BND,ICO,23,134193849
top_issuers,30,694308,PACIFIC GAS AND ELECTRIC COMPA SECURED C,ICO,16,133815055
summary,,d1_total,,,,43049162735
summary,,us_government,,,,1068798
summary,,no_identifier_bucket,,,,0
summary,,non_govt_identified,,,,43048093937
summary,,n_issuer_prefixes_non_govt,,,,2528
summary,,top10_bacv,,,,2433375384
summary,,top25_bacv,,,,4913802460
summary,,top50_bacv,,,,7882110899
summary,,remainder_below_top30,,,,37443305765
