section,page,code,label,monies
ALL,605,1829999999,"Subtotal - Bonds - Unaffiliated Bank Loans - Acquired 1,423,875,898 XXX 1,393,218,963 1,42",1423875898;1393218963;1425218682;1421047343;498610;-5399123;12704693;61715271
ALL,605,1909999999,"Subtotal - Bonds - Unaffiliated Bank Loans 1,423,875,898 XXX 1,393,218,963 1,425,218,682 1",1423875898;1393218963;1425218682;1421047343;498610;-5399123;12704693;61715271
ALL,605,2419999999,"Total - Issuer Obligations 25,782,764,123 XXX 22,475,089,270 25,559,112,445 25,722,914,786",25782764123;22475089270;25559112445;25722914786;144218;8383847;-12798857;269453645;941948023
ALL,605,2429999999,"Total - Residential Mortgage-Backed Securities 899,601,781 XXX 823,084,487 980,140,700 867",899601781;823084487;980140700;867542863;-16776;-3816746;2721638;3535631;39772994
ALL,605,2439999999,"Total - Commercial Mortgage-Backed Securities 2,940,982,119 XXX 2,626,666,161 2,903,510,62",2940982119;2626666161;2903510624;2913825802;-753057;-6024993;-2532039;9216423;115723754
ALL,605,2449999999,"Total - Other Loan-Backed and Structured Securities 7,148,042,944 XXX 6,934,105,709 7,128,",7148042944;6934105709;7128885136;7137698124;-1789658;446765;-3553786;74471440;355054741
ALL,605,2459999999,Total - SVO Identified Funds XXX XXX XXX XXX XXX XXX,
ALL,605,2469999999,Total - Affiliated Bank Loans XXX XXX XXX XXX XXX XXX,
ALL,605,2479999999,"Total - Unaffiliated Bank Loans 1,423,875,898 XXX 1,393,218,963 1,425,218,682 1,421,047,34",1423875898;1393218963;1425218682;1421047343;498610;-5399123;12704693;61715271
ALL,605,2489999999,Total - Unaffiliated Certificates of Deposit XXX XXX XXX XXX XXX XXX,
ALL,605,2509999999,"Total Bonds 38,195,266,865 XXX 34,252,164,590 37,996,867,587 38,063,028,918 (625,615) (2,7",38195266865;34252164590;37996867587;38063028918;-625615;-2748940;3168403;-24283805;369381832;1514214783
