section,page,code,label,monies
ALL,490,0019999999,"Subtotal - Bonds - U.S. Governments - Issuer Obligations 1,054,672 XXX 1,028,031 1,050,000",1054672;1028031;1050000;1053978;-1367;5392;24388
ALL,490,0029999999,"Subtotal - Bonds - U.S. Governments - Residential Mortgage-Backed Securities 1,449,018 XXX",1449018;546238;946051;-76478;27795;400323
ALL,490,0039999999,"Subtotal - Bonds - U.S. Governments - Commercial Mortgage- Backed Securities 93,687,453 XX",93687453;80341576;91991363;93139817;-68909;231512;2778139
ALL,490,0109999999,"Total - U.S. Government Bonds 96,191,143 XXX 81,915,845 93,041,363 95,139,846 (146,754) XX",96191143;81915845;93041363;95139846;-146754;264699;3202850
ALL,491,0219999999,"Subtotal - Bonds - All Other Governments - Issuer Obligations 636,075,450 XXX 523,955,618 ",636075450;523955618;624126000;634197258;-492264;6287570;25507253
ALL,491,0309999999,"Total - All Other Government Bonds 636,075,450 XXX 523,955,618 624,126,000 634,197,258 (49",636075450;523955618;624126000;634197258;-492264;6287570;25507253
ALL,491,0419999999,"Subtotal - Bonds - U.S. States, Territories and Possessions - Issuer Obligations 94,558,57",94558573;80962418;92827161;94644218;2672;921017;2271240
ALL,491,0509999999,"Total - U.S. States, Territories and Possessions Bonds 94,558,573 XXX 80,962,418 92,827,16",94558573;80962418;92827161;94644218;2672;921017;2271240
ALL,495,0619999999,"Subtotal - Bonds - U.S. Political Subdivisions - Issuer Obligations 366,006,219 XXX 307,19",366006219;307190517;365642060;365743341;-47163;3815020;13022791
ALL,495,0649999999,Subtotal - Bonds - U.S. Political Subdivisions - Other Loan-Backed and Structured Securiti,13183671;9977778;13590000;13236254;22904;30917;371007
ALL,495,0709999999,"Total - U.S. Political Subdivisions Bonds 379,189,890 XXX 317,168,295 379,232,060 378,979,",379189890;317168295;379232060;378979595;-24259;3845937;13393798
ALL,504,0819999999,"Subtotal - Bonds - U.S. Special Revenues - Issuer Obligations 2,315,295,162 XXX 1,815,441,",2315295162;1815441933;2263108273;2312799122;-459433;24845515;81225965
ALL,505,0829999999,"Subtotal - Bonds - U.S. Special Revenues - Residential Mortgage- Backed Securities 200,543",200543463;181185698;201524687;201311802;66784;593950;6968553
ALL,505,0839999999,"Subtotal - Bonds - U.S. Special Revenues - Commercial Mortgage- Backed Securities 4,715,34",4715346;4304276;4737553;4722725;2993;13344;162806
ALL,505,0849999999,"Subtotal - Bonds - U.S. Special Revenues - Other Loan-Backed and Structured Securities 37,",37439222;27403703;38640000;37543888;40236;193685;1136643
ALL,505,0909999999,"Total - U.S. Special Revenues Bonds 2,557,993,193 XXX 2,028,335,610 2,508,010,513 2,556,37",2557993193;2028335610;2508010513;2556377537;-349420;25646494;89493967
ALL,572,1019999999,"Subtotal - Bonds - Industrial and Miscellaneous (Unaffiliated) - Issuer Obligations 22,295",22295015629;19678595350;22140908951;22241225537;144218;9783056;-12798857;232776971;817015465
ALL,578,1029999999,Subtotal - Bonds - Industrial and Miscellaneous (Unaffiliated) - Residential Mortgage-Back,697609300;641352551;778616013;665285010;-16776;-3807052;2721638;2913886;32404118
ALL,585,1039999999,Subtotal - Bonds - Industrial and Miscellaneous (Unaffiliated) - Commercial Mortgage-Backe,2842579320;2542020309;2806781708;2815963260;-753057;-5959077;-2532039;8971567;112782809
ALL,602,1049999999,Subtotal - Bonds - Industrial and Miscellaneous (Unaffiliated) - Other Loan-Backed and Str,6659813544;6458961021;6637864756;6652751235;-1891666;446765;-75155;70902430;352276770
ALL,602,1109999999,"Total - Industrial and Miscellaneous (Unaffiliated) Bonds 32,495,017,793 XXX 29,320,929,23",32495017793;29320929231;32364171428;32375225042;-625615;-1874739;3168403;-15406051;315564854;1314479162
ALL,602,1219999999,"Subtotal - Bonds - Hybrid Securities - Issuer Obligations 74,758,418 XXX 67,915,403 71,450",74758418;67915403;71450000;73251332;-401654;802160;2880921
ALL,602,1309999999,"Total - Hybrid Securities 74,758,418 XXX 67,915,403 71,450,000 73,251,332 (401,654) XXX XX",74758418;67915403;71450000;73251332;-401654;802160;2880921
ALL,604,1449999999,"Subtotal - Bonds - Parent, Subsidiaries and Affiliates - Other Loan- Backed and Structured",437606507;437763207;438790380;434166747;38868;-3478631;3344408;1270321
ALL,604,1469999999,Subtotal - Bonds - Affiliated Bank Loans - Acquired XXX XXX XXX XXX XXX XXX,
ALL,604,1509999999,"Total - Parent, Subsidiaries and Affiliates Bonds 437,606,507 XXX 437,763,207 438,790,380 ",437606507;437763207;438790380;434166747;38868;-3478631;3344408;1270321
